	reactionIdentifier	lineWidth	color
1	r_HMGCOASim	3	#FF0000
2	r_HMGLm	3	#FF0000
3	r_HMGLx	3	#FF0000
4	r_HMR_3625	3	#FF0000
5	r_HMR_3626	3	#FF0000
6	r_HMR_3627	3	#FF0000
7	r_HMR_3628	3	#FF0000
8	r_HMR_3629	3	#FF0000
9	r_HMR_3630	3	#FF0000
10	r_HMR_3631	3	#FF0000
11	r_HMR_3633	3	#FF0000
12	r_HMR_3635	3	#FF0000
13	r_HMR_3636	3	#FF0000
14	r_HMR_3637	3	#FF0000
15	r_HMR_3639	3	#FF0000
16	r_HMR_3640	3	#FF0000
17	r_HMR_3642	3	#FF0000
18	r_HMR_3644	3	#FF0000
19	r_HMR_3645	3	#FF0000
20	r_HMR_3646	3	#FF0000
21	r_HMR_3647	3	#FF0000
22	r_HMR_3648	3	#FF0000
23	r_HMR_3649	3	#FF0000
24	r_HMR_3650	3	#FF0000
25	r_HMR_3651	3	#FF0000
26	r_HMR_3652	3	#FF0000
27	r_HMR_3654	3	#FF0000
28	r_HMR_3655	3	#FF0000
29	r_HMR_3656	3	#FF0000
30	r_HMR_3657	3	#FF0000
31	r_HMR_3658	3	#FF0000
32	r_HMR_3659	3	#FF0000
33	r_HMR_3660	3	#FF0000
34	r_HMR_3663	3	#FF0000
35	r_HMR_3665	3	#FF0000
36	r_HMR_3666	3	#FF0000
37	r_HMR_3667	3	#FF0000
38	r_HMR_3668	3	#FF0000
39	r_HMR_3669	3	#FF0000
40	r_HMR_3670	3	#FF0000
41	r_HMR_3677	3	#FF0000
42	r_HMR_3678	3	#FF0000
43	r_HMR_3679	3	#FF0000
44	r_HMR_3680	3	#FF0000
45	r_HMR_3681	3	#FF0000
46	r_HMR_3682	3	#FF0000
47	r_HMR_3684	3	#FF0000
48	r_HMR_3685	3	#FF0000
49	r_HMR_3686	3	#FF0000
50	r_HMR_3687	3	#FF0000
51	r_HMR_3688	3	#FF0000
52	r_HMR_3689	3	#FF0000
53	r_HMR_3690	3	#FF0000
54	r_HMR_3692	3	#FF0000
55	r_HMR_3694	3	#FF0000
56	r_HMR_3695	3	#FF0000
57	r_HMR_3696	3	#FF0000
58	r_HMR_3698	3	#FF0000
59	r_HMR_3699	3	#FF0000
60	r_HMR_3701	3	#FF0000
61	r_HMR_3703	3	#FF0000
62	r_HMR_3704	3	#FF0000
63	r_HMR_3705	3	#FF0000
64	r_HMR_3706	3	#FF0000
65	r_HMR_3707	3	#FF0000
66	r_HMR_3708	3	#FF0000
67	r_HMR_3709	3	#FF0000
68	r_HMR_3710	3	#FF0000
69	r_HMR_3711	3	#FF0000
70	r_HMR_3713	3	#FF0000
71	r_HMR_3714	3	#FF0000
72	r_HMR_3715	3	#FF0000
73	r_HMR_3716	3	#FF0000
74	r_HMR_3717	3	#FF0000
75	r_HMR_3718	3	#FF0000
76	r_HMR_3719	3	#FF0000
77	r_HMR_3722	3	#FF0000
78	r_HMR_3724	3	#FF0000
79	r_HMR_3725	3	#FF0000
80	r_HMR_3726	3	#FF0000
81	r_HMR_3727	3	#FF0000
82	r_HMR_3728	3	#FF0000
83	r_HMR_3729	3	#FF0000
84	r_HMR_3736	3	#FF0000
85	r_HMR_3737	3	#FF0000
86	r_HMR_3738	3	#FF0000
87	r_HMR_3739	3	#FF0000
88	r_HMR_3740	3	#FF0000
89	r_HMR_3741	3	#FF0000
102	r_HMR_1543	3	#FF0000
103	r_HMR_1544	3	#FF0000
104	r_HMR_1545	3	#FF0000
105	r_HMR_1546	3	#FF0000
106	r_HMR_1550	3	#FF0000
107	r_HMR_1549	3	#FF0000
108	r_HMR_1548	3	#FF0000
109	r_HMR_1551	3	#FF0000
110	r_HMR_1547	3	#FF0000
111	r_RE3136C	3	#FF0000
112	r_HMR_1552	3	#FF0000
113	r_r0783	3	#FF0000
